iter	Passed	Remaining
0	14	7173
1	25	6316
2	35	5914
3	52	6559
4	63	6277
5	71	5895
6	78	5519
7	85	5231
8	95	5198
9	104	5131
10	113	5027
11	119	4875
12	133	5015
13	142	4948
14	155	5022
15	162	4923
16	172	4905
17	183	4919
18	192	4873
19	202	4852
20	211	4827
21	223	4862
22	234	4856
23	247	4916
24	258	4913
25	266	4858
26	278	4884
27	291	4910
28	304	4937
29	313	4904
30	323	4899
31	332	4868
32	342	4844
33	351	4818
34	360	4791
35	366	4722
36	371	4652
37	379	4609
38	388	4590
39	400	4609
40	408	4574
41	418	4567
42	429	4561
43	436	4518
44	448	4533
45	457	4514
46	465	4490
47	474	4466
48	482	4439
49	490	4418
50	503	4431
51	513	4420
52	526	4437
53	536	4433
54	546	4418
55	555	4402
56	561	4362
57	571	4358
58	580	4336
59	593	4352
60	605	4355
61	621	4392
62	642	4455
63	658	4489
64	668	4474
65	678	4462
66	690	4465
67	701	4457
68	713	4456
69	729	4482
70	748	4519
71	758	4509
72	768	4494
73	781	4501
74	791	4484
75	800	4467
76	808	4443
77	820	4441
78	832	4436
79	843	4429
80	862	4463
81	873	4452
82	883	4438
83	893	4424
84	905	4421
85	912	4394
86	921	4375
87	937	4387
88	944	4362
89	953	4341
90	964	4333
91	979	4343
92	989	4330
93	1004	4337
94	1016	4334
95	1026	4321
96	1038	4313
97	1047	4297
98	1060	4296
99	1069	4278
100	1083	4280
101	1095	4274
102	1104	4255
103	1117	4253
104	1127	4242
105	1138	4230
106	1151	4230
107	1160	4210
108	1168	4192
109	1179	4181
110	1191	4173
111	1200	4158
112	1210	4144
113	1221	4134
114	1235	4134
115	1244	4120
116	1256	4112
117	1265	4098
118	1275	4083
119	1285	4069
120	1293	4051
121	1308	4054
122	1319	4042
123	1328	4028
124	1337	4013
125	1348	4003
126	1358	3990
127	1369	3980
128	1380	3970
129	1396	3973
130	1406	3962
131	1416	3949
132	1426	3934
133	1435	3920
134	1444	3905
135	1455	3895
136	1465	3882
137	1473	3866
138	1483	3853
139	1492	3838
140	1502	3824
141	1511	3811
142	1520	3796
143	1529	3781
144	1540	3772
145	1550	3758
146	1564	3756
147	1574	3745
148	1584	3733
149	1595	3723
150	1607	3715
151	1620	3709
152	1632	3701
153	1645	3697
154	1655	3685
155	1664	3671
156	1682	3676
157	1692	3663
158	1703	3653
159	1711	3636
160	1719	3620
161	1729	3608
162	1732	3581
163	1742	3569
164	1751	3556
165	1762	3546
166	1771	3533
167	1787	3532
168	1796	3518
169	1799	3493
170	1810	3483
171	1820	3470
172	1829	3457
173	1835	3438
174	1844	3424
175	1851	3407
176	1859	3392
177	1862	3369
178	1873	3360
179	1884	3350
180	1899	3347
181	1909	3336
182	1919	3325
183	1929	3313
184	1940	3303
185	1949	3290
186	1967	3293
187	1977	3282
188	1987	3270
189	1996	3258
190	2005	3244
191	2017	3236
192	2028	3226
193	2039	3217
194	2052	3209
195	2063	3200
196	2075	3192
197	2087	3183
198	2097	3172
199	2107	3161
200	2120	3154
201	2138	3155
202	2148	3143
203	2155	3127
204	2163	3113
205	2173	3101
206	2183	3090
207	2194	3080
208	2202	3066
209	2218	3064
210	2231	3057
211	2243	3047
212	2254	3038
213	2265	3028
214	2277	3018
215	2290	3011
216	2300	2999
217	2310	2989
218	2327	2986
219	2350	2991
220	2367	2988
221	2383	2984
222	2406	2989
223	2411	2970
224	2424	2963
225	2436	2954
226	2451	2948
227	2467	2943
228	2478	2933
229	2483	2915
230	2496	2906
231	2508	2897
232	2519	2886
233	2526	2871
234	2538	2862
235	2549	2851
236	2557	2838
237	2569	2828
238	2581	2818
239	2594	2810
240	2606	2801
241	2616	2789
242	2628	2779
243	2639	2769
244	2651	2759
245	2663	2750
246	2674	2738
247	2684	2727
248	2697	2719
249	2710	2710
250	2720	2698
251	2731	2688
252	2741	2676
253	2754	2667
254	2767	2658
255	2777	2647
256	2789	2637
257	2797	2624
258	2809	2614
259	2819	2602
260	2834	2595
261	2851	2590
262	2861	2578
263	2871	2567
264	2882	2556
265	2897	2548
266	2914	2543
267	2925	2532
268	2940	2524
269	2951	2514
270	2964	2505
271	2974	2493
272	2985	2482
273	2989	2465
274	3001	2455
275	3014	2446
276	3019	2430
277	3030	2420
278	3042	2410
279	3053	2399
280	3071	2393
281	3081	2382
282	3085	2365
283	3094	2353
284	3105	2342
285	3115	2331
286	3129	2322
287	3141	2312
288	3151	2300
289	3162	2289
290	3172	2278
291	3181	2266
292	3192	2255
293	3200	2242
294	3212	2232
295	3226	2223
296	3243	2217
297	3253	2205
298	3263	2193
299	3273	2182
300	3285	2171
301	3298	2162
302	3309	2151
303	3318	2139
304	3328	2128
305	3343	2119
306	3354	2108
307	3364	2097
308	3375	2086
309	3387	2076
310	3397	2064
311	3410	2055
312	3414	2040
313	3424	2028
314	3436	2018
315	3447	2007
316	3457	1995
317	3468	1985
318	3478	1973
319	3489	1962
320	3498	1950
321	3509	1939
322	3520	1929
323	3531	1918
324	3542	1907
325	3554	1897
326	3563	1885
327	3574	1874
328	3583	1862
329	3592	1850
330	3602	1839
331	3606	1824
332	3616	1813
333	3663	1820
334	3681	1813
335	3690	1801
336	3700	1789
337	3710	1778
338	3731	1771
339	3741	1760
340	3746	1746
341	3757	1736
342	3767	1724
343	3784	1716
344	3792	1703
345	3806	1694
346	3817	1683
347	3827	1671
348	3837	1660
349	3843	1647
350	3858	1637
351	3869	1626
352	3878	1615
353	3887	1603
354	3898	1592
355	3908	1580
356	3917	1569
357	3931	1559
358	3940	1547
359	3953	1537
360	3962	1525
361	3974	1515
362	3986	1504
363	3996	1493
364	4006	1481
365	4015	1469
366	4025	1458
367	4035	1447
368	4043	1435
369	4054	1424
370	4062	1412
371	4073	1401
372	4085	1391
373	4095	1379
374	4104	1368
375	4116	1357
376	4125	1346
377	4134	1334
378	4147	1324
379	4156	1312
380	4168	1302
381	4180	1291
382	4192	1280
383	4206	1270
384	4217	1259
385	4222	1247
386	4232	1235
387	4246	1225
388	4255	1214
389	4264	1202
390	4275	1191
391	4289	1181
392	4302	1171
393	4329	1164
394	4340	1153
395	4351	1142
396	4361	1131
397	4372	1120
398	4388	1110
399	4397	1099
400	4409	1088
401	4425	1078
402	4441	1068
403	4453	1058
404	4465	1047
405	4474	1036
406	4487	1025
407	4500	1014
408	4511	1003
409	4521	992
410	4533	981
411	4546	971
412	4559	960
413	4574	950
414	4586	939
415	4603	929
416	4622	920
417	4640	910
418	4653	899
419	4669	889
420	4686	879
421	4705	869
422	4716	858
423	4733	848
424	4747	837
425	4759	826
426	4771	815
427	4780	804
428	4794	793
429	4815	783
430	4830	773
431	4842	762
432	4855	751
433	4867	740
434	4878	728
435	4889	717
436	4909	707
437	4929	697
438	4948	687
439	4962	676
440	4983	666
441	4997	655
442	5009	644
443	5018	633
444	5029	621
445	5039	610
446	5051	598
447	5066	588
448	5075	576
449	5086	565
450	5095	553
451	5111	542
452	5121	531
453	5131	519
454	5141	508
455	5152	497
456	5164	485
457	5174	474
458	5184	463
459	5196	451
460	5205	440
461	5219	429
462	5231	418
463	5241	406
464	5260	395
465	5272	384
466	5284	373
467	5296	362
468	5313	351
469	5325	339
470	5339	328
471	5349	317
472	5359	305
473	5369	294
474	5381	283
475	5394	272
476	5408	260
477	5419	249
478	5428	238
479	5442	226
480	5453	215
481	5469	204
482	5481	192
483	5492	181
484	5505	170
485	5520	159
486	5534	147
487	5549	136
488	5564	125
489	5577	113
490	5598	102
491	5609	91
492	5624	79
493	5647	68
494	5657	57
495	5672	45
496	5681	34
497	5691	22
498	5700	11
499	5712	0
