이름,연도,WAR,득점,안타,2루타,3루타,홈런,타점,도루,볼넷,사구,고의사구,삼진,병살,희생타,희생플라이,타율,출루,장타,OPS,wRC+,수상여부
송지만,2000,5.61,93,158,33,2,32,90,20.0,52,7,2,72,10,0,3,0.338,0.409,0.622,1.031,169.4,1
박재홍,2000,5.26,101,151,31,5,32,115,30.0,64,7,5,77,15,0,12,0.309,0.388,0.589,0.977,150.3,1
프랑코,2000,4.79,79,156,19,1,22,110,12.0,63,2,5,86,11,0,7,0.327,0.403,0.509,0.912,142.7,0
심정수,2000,4.73,75,138,21,2,29,91,,69,10,1,67,12,0,9,0.304,0.4,0.551,0.951,147.8,0
김재현,2000,4.65,83,143,32,2,11,62,6.0,81,7,5,73,11,3,5,0.308,0.415,0.457,0.872,142.1,0
이영우,2000,4.6,91,152,36,5,25,64,7.0,52,8,5,91,5,1,3,0.318,0.392,0.571,0.963,150.0,0
이병규,2000,4.21,99,170,28,1,18,99,14.0,52,5,4,91,15,2,9,0.323,0.383,0.482,0.865,131.1,1
장원진,2000,3.48,94,170,27,5,7,59,10.0,43,3,0,37,12,1,5,0.323,0.374,0.433,0.807,121.5,0
스미스,2000,3.28,71,122,27,1,35,100,0.0,53,2,3,120,17,0,6,0.288,0.366,0.605,0.971,144.4,0
심재학,2000,3.15,66,114,30,1,21,75,,51,15,1,59,7,3,3,0.265,0.361,0.486,0.847,114.4,0
데이비스,2000,2.91,72,140,29,1,22,80,21.0,25,2,1,92,15,3,9,0.334,0.367,0.566,0.933,141.8,0
김대익,2000,2.88,72,129,27,4,6,47,12.0,53,2,3,82,5,11,4,0.278,0.352,0.392,0.744,100.9,0
정수근,2000,2.48,82,139,23,3,3,50,47.0,47,5,0,40,5,7,6,0.277,0.341,0.353,0.694,86.0,0
조경환,2000,2.36,52,102,15,2,25,64,1.0,42,9,2,113,6,0,1,0.264,0.349,0.508,0.857,112.6,0
이호성,2000,2.0,52,96,25,0,8,57,13.0,65,4,1,102,8,0,2,0.242,0.353,0.365,0.718,96.4,0
김종훈,2000,1.09,73,109,24,2,11,40,7.0,46,6,0,86,9,6,2,0.245,0.323,0.383,0.706,83.8,0
김응국,2000,1.03,57,111,15,3,6,45,9.0,34,2,4,78,7,1,1,0.277,0.336,0.374,0.71,86.5,0
채종범,2000,0.24,55,113,22,5,8,52,5.0,35,9,1,59,10,13,4,0.247,0.311,0.37,0.681,72.0,0
호세,2001,7.88,90,123,20,2,36,102,7.0,127,1,28,72,4,0,4,0.335,0.503,0.695,1.198,203.0,0
심재학,2001,6.89,83,127,20,1,24,88,7.0,86,7,8,50,6,4,3,0.344,0.473,0.599,1.072,187.0,1
김재현,2001,4.89,81,139,29,1,8,61,10.0,88,6,1,83,9,8,4,0.325,0.443,0.453,0.896,156.4,0
정수근,2001,4.5,95,143,21,9,2,53,52.0,71,1,1,51,8,2,5,0.306,0.395,0.403,0.798,124.6,1
데이비스,2001,4.34,95,166,21,0,30,96,15.0,60,2,9,74,15,0,6,0.335,0.404,0.558,0.962,148.9,0
에레라,2001,3.79,61,142,27,1,15,63,15.0,24,5,4,53,11,1,2,0.34,0.381,0.517,0.898,134.5,0
조경환,2001,3.73,65,131,33,0,26,102,,47,8,2,109,6,3,6,0.303,0.377,0.559,0.936,137.6,0
전준호,2001,3.71,85,130,18,6,4,35,27.0,65,8,1,51,5,13,4,0.325,0.426,0.43,0.856,138.6,0
이병규,2001,3.62,107,167,30,4,12,83,24.0,54,4,6,69,10,4,3,0.308,0.373,0.445,0.818,117.2,1
이영우,2001,2.91,72,109,25,3,15,65,10.0,62,0,4,70,8,4,1,0.286,0.385,0.486,0.871,131.9,0
심정수,2001,2.86,67,112,19,1,18,70,8.0,60,11,4,75,11,0,1,0.294,0.404,0.491,0.895,133.3,0
이숭용,2001,2.79,53,129,29,1,10,64,,47,9,2,47,5,6,4,0.3,0.378,0.442,0.82,116.8,0
박한이,2001,2.15,77,117,25,3,13,61,17.0,60,12,0,60,14,9,0,0.279,0.384,0.445,0.829,118.6,0
마르티네스,2001,2.08,93,134,27,2,25,96,28.0,50,7,4,79,12,2,9,0.278,0.349,0.498,0.847,109.6,0
신동주,2001,1.89,64,110,24,1,11,52,13.0,33,10,3,58,5,1,4,0.284,0.353,0.437,0.79,100.2,0
