이름,연도,WAR,득점,안타,2루타,3루타,홈런,타점,도루,볼넷,사구,고의사구,삼진,병살,희생타,희생플라이,타율,출루,장타,OPS,wRC+,수상여부
최형우,2014,5.67,92,153,33,0,31,100,4,50,7,1,62,11,0,6,0.356,0.426,0.649,1.075,167.3,1
손아섭,2014,5.5,105,175,25,3,18,80,10,80,5,7,78,7,0,2,0.362,0.456,0.538,0.994,147.7,1
나성범,2014,5.5,88,157,28,5,30,101,14,42,15,2,128,4,1,1,0.329,0.4,0.597,0.997,149.8,1
박용택,2014,4.15,71,159,24,2,9,73,11,75,1,3,65,15,2,7,0.343,0.43,0.461,0.891,135.2,0
이병규,2014,3.44,66,110,28,3,16,87,5,74,5,2,78,7,3,8,0.306,0.423,0.533,0.956,147.2,0
민병헌,2014,3.22,85,162,31,3,12,79,16,37,6,0,63,11,8,6,0.345,0.395,0.5,0.895,131.0,0
김현수,2014,3.07,75,149,26,0,17,90,,53,7,5,45,10,0,5,0.322,0.396,0.488,0.884,125.5,0
박한이,2014,2.92,83,156,22,2,9,80,7,61,5,1,74,9,24,5,0.331,0.409,0.443,0.852,115.7,0
정수빈,2014,2.89,79,132,18,7,6,49,32,41,11,1,68,8,22,2,0.306,0.379,0.422,0.801,111.6,0
김주찬,2014,2.46,72,138,32,4,9,46,22,31,4,2,48,11,6,2,0.346,0.397,0.514,0.911,122.1,0
이택근,2014,2.46,87,135,32,1,21,91,11,51,13,0,43,10,12,10,0.306,0.386,0.526,0.912,119.3,0
유한준,2014,2.4,71,128,31,0,20,91,2,46,3,0,53,9,8,7,0.316,0.384,0.541,0.925,116.7,0
김강민,2014,2.3,86,130,29,3,16,82,32,43,4,0,91,12,2,4,0.302,0.368,0.495,0.863,111.8,0
나지완,2014,2.24,64,124,22,0,19,79,3,54,12,4,97,9,0,6,0.312,0.404,0.51,0.914,125.6,0
피에,2014,2.18,61,145,33,2,17,92,9,41,0,1,60,11,0,12,0.326,0.373,0.524,0.897,115.2,0
전준우,2014,1.7,69,121,23,2,14,66,7,34,9,0,71,10,9,3,0.292,0.356,0.458,0.814,98.6,0
이진영,2014,1.66,53,134,19,2,6,65,4,45,0,5,48,10,2,9,0.325,0.384,0.425,0.809,106.9,0
이대형,2014,1.34,75,149,15,9,1,40,,35,2,2,57,5,5,2,0.323,0.372,0.401,0.773,95.1,0
신종길,2014,0.19,60,105,24,6,9,51,20,29,2,0,92,2,5,3,0.292,0.345,0.467,0.812,96.6,0
이종욱,2014,0.02,73,126,28,4,6,78,15,40,3,0,60,5,1,13,0.288,0.342,0.411,0.753,82.7,0
이용규,2014,-0.02,62,103,12,4,0,20,12,52,5,0,46,5,2,1,0.288,0.385,0.344,0.729,88.9,0
조동화,2014,-0.43,74,116,12,5,2,52,37,43,4,1,72,8,28,4,0.262,0.33,0.325,0.655,64.1,0
